Station,Actual Year,Predicted Value
Dhaka,32.025,32.71312226
Tangail,31.93333333,32.53781913
Mymensingh,30.91666667,29.6372195
Faridpur,31.99166667,33.04147743
Madaripur,31.3,30.94626652
Srimangal,31.94166667,32.00087629
Sylhet,31.20833333,30.31401922
Bogra,31.68333333,31.63746554
Dinajpur,31.36666667,31.06775319
Ishurdi,32.25833333,33.10334632
Rajshahi,32.55833333,33.69241889
Rangpur,31.24166667,30.73827221
sydpur,31.825,32.0615773
chuadanga,32.50833333,33.96095897
Jessore,32.575,34.14295186
Khulna,32.06666667,32.66397037
Mongla,32.29166667,33.43922045
Satkhira,31.775,31.77202092
Barishal,31.725,31.5243911
Bhola,31.81666667,31.82850255
Khepupara,31.89166667,31.72294966
Patuakhali,31.825,31.82647192
Chandpur,31.8,32.19793076
Ambagan(Ctg ,31.85833333,31.72901299
Chattagram ,31.5,31.17254359
Cumilla,31.40833333,30.90870751
Cox's Bazar ,31.73333333,31.20522233
Feni,31.95833333,32.17533677
Hatiya,30.95,29.85226658
Kutubdia,31.25,30.5144112
M.court,31.19166667,30.4891951
Rangamati,31.9,31.75306116
Sandwip,31.71666667,31.24719334
Sitakunda,32.21666667,32.85710657
Teknaf,31.70833333,31.15863615
Gopalgonj,31.26666667,30.78635667
Tarash,31.275,30.72218302
Natrakona,30.78333333,29.12054378
Rajarhat,30.69166667,29.22107293
Badalgachhi ,31.41666667,31.08735017
Dimla,30.65,29.13659803
Kumarkhali,32.13333333,32.84524274
Tetulia,30.58333333,28.96542893
Nikli,30.81666667,30.01097798
Narayangonj ,31.63333333,31.67907144
Manikgonj,30.95,30.32455032
Bagabari,31.39166667,31.77586159
Koyra,31.75,31.65941486
