Station ,Year,Predicted Value
Dhaka,180,190.2857485
Tangail,163.83,187.3010008
Mymensingh,173.42,194.7449256
Faridpur,120.08,124.0941779
Madaripur,152.42,153.1623666
Srimongal,189.67,214.6812996
Sylhet,444.75,518.5850102
Bogra,139.25,137.2154332
Dinajpur,164.08,177.6966908
Ishurdi,113.17,118.8038633
rajshahi,96.67,96.93685562
rangpur,164.75,169.0077418
Sayedpur,174.92,195.954573
Chuadanga,88.83,85.47236684
Jessore,115.58,117.7905004
Khulna,121.5,121.80332
Mongla,181.5,204.2653666
Satkhira,124.17,127.7901068
Barisal,175.25,178.7664121
Bhola,188.42,193.8207273
Khapupara,269.92,275.6638065
Patuakhali,199.17,209.0525335
Chandpur,177.17,184.8491797
chi(Ambagan) ,194.25,188.9037398
Chi(Patanga) ,210.17,193.8760951
Comilla,176.08,180.1387645
Cox`s Bazar,199.17,204.1922432
Feni,191.25,196.9466499
Hatia,266.5,297.9337685
Kutubdia,198.83,204.6372669
Maijdi Court ,185.58,197.753051
rangamati,200.83,199.8814521
Sandwip,243.92,253.1912711
Sitakunda,225.33,227.6480178
Teknaf,72.58,92.86656578
Gopalgonj,123.08,121.5339434
Tarash,128.67,139.6399148
Natrakona,253.92,297.1031524
rajarhat,173.83,187.3130082
Badalgachhi,116.75,119.5184447
Dimla,213.08,242.03696
Kumarkhali,113,114.604528
Tatulia,258.92,308.5171007
Nikli,200.5,209.729596
Narayangonj,140,139.4559141
Manikgonj,0,-16.44334058
Bagabari,103.83,99.45908656
Koyra,155.17,203.0386575
